nid,day,rid,status,times,Mon,Tue,Wed,Thu,Fri,Sat,Sun,times
347,8,3,0,0.2128,0,1,0,0,0,0,0,21.28
348,8,3,0,0.234,0,1,0,0,0,0,0,23.4
349,8,3,0,0.2553,0,1,0,0,0,0,0,25.53
350,8,3,0,0.2766,0,1,0,0,0,0,0,27.66
351,8,3,1,0.2979,0,1,0,0,0,0,0,29.79
352,8,3,2,0.3191,0,1,0,0,0,0,0,31.91
353,8,3,2,0.3404,0,1,0,0,0,0,0,34.04
354,8,3,2,0.3617,0,1,0,0,0,0,0,36.17
355,8,3,2,0.383,0,1,0,0,0,0,0,38.3
356,8,3,2,0.4043,0,1,0,0,0,0,0,40.43
357,8,3,1,0.4255,0,1,0,0,0,0,0,42.55
358,8,3,1,0.4468,0,1,0,0,0,0,0,44.68
359,8,3,1,0.4681,0,1,0,0,0,0,0,46.81
360,8,3,1,0.4894,0,1,0,0,0,0,0,48.94
361,8,3,1,0.5106,0,1,0,0,0,0,0,51.06
362,8,3,1,0.5319,0,1,0,0,0,0,0,53.19
363,8,3,1,0.5532,0,1,0,0,0,0,0,55.32
364,8,3,1,0.5745,0,1,0,0,0,0,0,57.45
365,8,3,2,0.5957,0,1,0,0,0,0,0,59.57
366,8,3,2,0.617,0,1,0,0,0,0,0,61.7
367,8,3,2,0.6383,0,1,0,0,0,0,0,63.83
368,8,3,2,0.6596,0,1,0,0,0,0,0,65.96
369,8,3,2,0.6809,0,1,0,0,0,0,0,68.09
370,8,3,2,0.7021,0,1,0,0,0,0,0,70.21
371,8,3,2,0.7234,0,1,0,0,0,0,0,72.34
372,8,3,2,0.7447,0,1,0,0,0,0,0,74.47
373,8,3,2,0.766,0,1,0,0,0,0,0,76.6
374,8,3,2,0.7872,0,1,0,0,0,0,0,78.72
375,8,3,1,0.8085,0,1,0,0,0,0,0,80.85
376,8,3,1,0.8298,0,1,0,0,0,0,0,82.98
377,8,3,0,0.8511,0,1,0,0,0,0,0,85.11
378,8,3,0,0.8723,0,1,0,0,0,0,0,87.23
379,8,3,0,0.8936,0,1,0,0,0,0,0,89.36
380,8,3,0,0.9149,0,1,0,0,0,0,0,91.49
381,8,3,0,0.9362,0,1,0,0,0,0,0,93.62
382,8,3,0,0.9574,0,1,0,0,0,0,0,95.74
383,8,3,0,0.9787,0,1,0,0,0,0,0,97.87
384,8,3,0,1,0,1,0,0,0,0,0,100
385,9,3,0,0,0,0,1,0,0,0,0,0
386,9,3,0,0.0213,0,0,1,0,0,0,0,2.13
387,9,3,0,0.0426,0,0,1,0,0,0,0,4.26
388,9,3,0,0.0638,0,0,1,0,0,0,0,6.38
389,9,3,0,0.0851,0,0,1,0,0,0,0,8.51
390,9,3,0,0.1064,0,0,1,0,0,0,0,10.64
391,9,3,0,0.1277,0,0,1,0,0,0,0,12.77
392,9,3,0,0.1489,0,0,1,0,0,0,0,14.89
393,9,3,0,0.1702,0,0,1,0,0,0,0,17.02
394,9,3,0,0.1915,0,0,1,0,0,0,0,19.15
395,9,3,0,0.2128,0,0,1,0,0,0,0,21.28
396,9,3,0,0.234,0,0,1,0,0,0,0,23.4
397,9,3,0,0.2553,0,0,1,0,0,0,0,25.53
398,9,3,0,0.2766,0,0,1,0,0,0,0,27.66
399,9,3,1,0.2979,0,0,1,0,0,0,0,29.79
400,9,3,2,0.3191,0,0,1,0,0,0,0,31.91
401,9,3,2,0.3404,0,0,1,0,0,0,0,34.04
402,9,3,2,0.3617,0,0,1,0,0,0,0,36.17
403,9,3,2,0.383,0,0,1,0,0,0,0,38.3
404,9,3,1,0.4043,0,0,1,0,0,0,0,40.43
405,9,3,1,0.4255,0,0,1,0,0,0,0,42.55
406,9,3,1,0.4468,0,0,1,0,0,0,0,44.68
407,9,3,0,0.4681,0,0,1,0,0,0,0,46.81
408,9,3,0,0.4894,0,0,1,0,0,0,0,48.94
409,9,3,0,0.5106,0,0,1,0,0,0,0,51.06
410,9,3,0,0.5319,0,0,1,0,0,0,0,53.19
411,9,3,1,0.5532,0,0,1,0,0,0,0,55.32
412,9,3,1,0.5745,0,0,1,0,0,0,0,57.45
413,9,3,1,0.5957,0,0,1,0,0,0,0,59.57
414,9,3,1,0.617,0,0,1,0,0,0,0,61.7
415,9,3,1,0.6383,0,0,1,0,0,0,0,63.83
416,9,3,1,0.6596,0,0,1,0,0,0,0,65.96
417,9,3,1,0.6809,0,0,1,0,0,0,0,68.09
418,9,3,1,0.7021,0,0,1,0,0,0,0,70.21
419,9,3,1,0.7234,0,0,1,0,0,0,0,72.34
420,9,3,2,0.7447,0,0,1,0,0,0,0,74.47
421,9,3,2,0.766,0,0,1,0,0,0,0,76.6
422,9,3,1,0.7872,0,0,1,0,0,0,0,78.72
423,9,3,1,0.8085,0,0,1,0,0,0,0,80.85
424,9,3,1,0.8298,0,0,1,0,0,0,0,82.98
425,9,3,0,0.8511,0,0,1,0,0,0,0,85.11
426,9,3,0,0.8723,0,0,1,0,0,0,0,87.23
427,9,3,0,0.8936,0,0,1,0,0,0,0,89.36
428,9,3,0,0.9149,0,0,1,0,0,0,0,91.49
429,9,3,0,0.9362,0,0,1,0,0,0,0,93.62
430,9,3,0,0.9574,0,0,1,0,0,0,0,95.74
431,9,3,0,0.9787,0,0,1,0,0,0,0,97.87
432,9,3,0,1,0,0,1,0,0,0,0,100
433,10,3,0,0,0,0,0,1,0,0,0,0
434,10,3,0,0.0213,0,0,0,1,0,0,0,2.13
435,10,3,0,0.0426,0,0,0,1,0,0,0,4.26
436,10,3,0,0.0638,0,0,0,1,0,0,0,6.38
437,10,3,0,0.0851,0,0,0,1,0,0,0,8.51
438,10,3,0,0.1064,0,0,0,1,0,0,0,10.64
439,10,3,0,0.1277,0,0,0,1,0,0,0,12.77
440,10,3,0,0.1489,0,0,0,1,0,0,0,14.89
441,10,3,0,0.1702,0,0,0,1,0,0,0,17.02
442,10,3,0,0.1915,0,0,0,1,0,0,0,19.15
443,10,3,0,0.2128,0,0,0,1,0,0,0,21.28
444,10,3,0,0.234,0,0,0,1,0,0,0,23.4
